artist,title,artist_list,total_weeks,peak_rank,debut_rank,end_rank,peak_week,decay_rate,post_peak_length
The Weeknd,Wasted Times,['The Weeknd'],3,27.0,27.0,76.0,0,-24.5,2
The Weeknd & Kendrick Lamar,Pray For Me,"['The Weeknd', 'Kendrick Lamar']",20,7.0,7.0,61.0,0,-2.8421052631578947,19
The Weeknd & Playboi Carti,Timeless,"['The Weeknd', 'Playboi Carti']",41,3.0,3.0,45.0,0,-1.05,40
The Weeknd Featuring Daft Punk,I Feel It Coming,"['The Weeknd', 'Daft Punk']",26,4.0,48.0,46.0,18,-6.0,7
The Weeknd Featuring Daft Punk,Starboy,"['The Weeknd', 'Daft Punk']",30,1.0,40.0,39.0,13,-2.375,16
The Weeknd Featuring Future,All I Know,"['The Weeknd', 'Future']",2,46.0,46.0,83.0,0,-37.0,1
The Weeknd Featuring Future,Double Fantasy,"['The Weeknd', 'Future']",5,18.0,18.0,73.0,0,-13.75,4
The Weeknd Featuring Kendrick Lamar,Sidewalks,"['The Weeknd', 'Kendrick Lamar']",4,27.0,27.0,97.0,0,-23.333333333333332,3
"The Weeknd, Playboi Carti & Madonna",Popular,"['The Weeknd', 'Playboi Carti', 'Madonna']",19,43.0,43.0,87.0,0,-2.4444444444444446,18
Thomas Rhett,After All The Bars Are Closed,['Thomas Rhett'],21,35.0,63.0,48.0,15,-2.6,5
Thomas Rhett,Country Again,['Thomas Rhett'],20,42.0,73.0,47.0,16,-1.6666666666666667,3
Thomas Rhett,Die A Happy Man,['Thomas Rhett'],18,21.0,21.0,45.0,0,-1.411764705882353,17
Thomas Rhett,Life Changes,['Thomas Rhett'],14,36.0,92.0,78.0,9,-10.5,4
Thomas Rhett,Look What God Gave Her,['Thomas Rhett'],20,32.0,52.0,71.0,13,-6.5,6
Thomas Rhett,Marry Me,['Thomas Rhett'],19,30.0,97.0,56.0,13,-5.2,5
Thomas Rhett,Remember You Young,['Thomas Rhett'],18,53.0,100.0,80.0,8,-3.0,9
Thomas Rhett,Sixteen,['Thomas Rhett'],15,42.0,91.0,69.0,7,-3.857142857142857,7
Thomas Rhett,Star Of The Show,['Thomas Rhett'],19,45.0,88.0,99.0,12,-9.0,6
Thomas Rhett,T-Shirt,['Thomas Rhett'],20,41.0,92.0,68.0,13,-4.5,6
Thomas Rhett,Unforgettable,['Thomas Rhett'],20,47.0,68.0,71.0,6,-1.8461538461538463,13
Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,"['Thomas Rhett', 'Jon Pardi']",18,36.0,91.0,95.0,8,-6.555555555555555,9
Thomas Rhett Featuring Maren Morris,Craving You,"['Thomas Rhett', 'Maren Morris']",20,39.0,53.0,60.0,13,-3.5,6
Thomas Rhett Featuring Teddy Swims,Somethin' 'Bout A Woman,"['Thomas Rhett', 'Teddy Swims']",6,65.0,80.0,98.0,3,-16.5,2
Tiesto & Ava Max,The Motto,"['Tiesto', 'Ava Max']",16,42.0,95.0,96.0,8,-7.714285714285714,7
Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,"['Tiesto', 'Dzeko', 'Preme', 'Post Malone']",19,52.0,88.0,100.0,9,-5.333333333333333,9
Tiesto Featuring Tate McRae,10:35,"['Tiesto', 'Tate McRae']",9,69.0,72.0,85.0,2,-2.6666666666666665,6
Tim McGraw,7500 OBO,['Tim McGraw'],8,66.0,99.0,80.0,6,-14.0,1
Tim McGraw,How I'll Always Be,['Tim McGraw'],12,70.0,99.0,70.0,10,-0.0,1
Tim McGraw,Top Of The World,['Tim McGraw'],4,76.0,76.0,79.0,0,-1.0,3
Tim McGraw & Faith Hill,Speak To A Girl,"['Tim McGraw', 'Faith Hill']",2,61.0,61.0,70.0,0,-9.0,1
Tinashe,Nasty,['Tinashe'],16,61.0,90.0,98.0,3,-3.0833333333333335,12
Tito Double P,El Lokeron,['Tito Double P'],8,73.0,92.0,91.0,3,-4.5,4
Tito Double P,Tattoo,['Tito Double P'],8,72.0,85.0,97.0,1,-4.166666666666667,6
Tito Double P & Peso Pluma,Dos Dias,"['Tito Double P', 'Peso Pluma']",20,51.0,84.0,81.0,4,-2.0,15
Tommy Richman,Devil Is A Lie,['Tommy Richman'],13,32.0,47.0,98.0,2,-6.6,10
Tones And I,Dance Monkey,['Tones And I'],36,4.0,96.0,50.0,19,-2.875,16
Toosii,Favorite Song,['Toosii'],27,5.0,51.0,33.0,13,-2.1538461538461537,13
Tori Kelly,Hollow,['Tori Kelly'],11,68.0,98.0,84.0,9,-16.0,1
Tory Lanez,Broke In A Minute,['Tory Lanez'],2,64.0,64.0,90.0,0,-26.0,1
Tory Lanez,Luv,['Tory Lanez'],22,19.0,96.0,46.0,10,-2.4545454545454546,11
Tory Lanez,Say It,['Tory Lanez'],16,23.0,28.0,42.0,5,-1.9,10
Tory Lanez,The Color Violet,['Tory Lanez'],9,63.0,87.0,99.0,3,-7.2,5
Tory Lanez & Rich The Kid,Talk To Me,"['Tory Lanez', 'Rich The Kid']",16,43.0,76.0,96.0,9,-8.833333333333334,6
